"Extracorporeal Membrane Oxygenation for COVID-19-Associated
Multisystem Inflammatory Syndrome in a 5-year-old",7780062,10.1177/0003134820983198,NA,NA,NA
A Pragmatic Randomized Controlled Trial to Increase PrEP Uptake for HIV Prevention: 55-Week Results From PrEPChicago,7722461,na,The authors acknowledge the study participants for their engagement in the study and with the PrEP Chicago investigative team. The authors thank the PrEPline staff and the PrEP providers in Chicago for working to provide PrEP care. The authors thank NIAID for supporting this work through R01AI120700.,NA,"
D.M. and B.H. received funding from The Center for Health Administration Studies at the University of Chicago and the National Center for Advancing Translational Sciences (NCATS) of the National Institutes of Health (NIH) Grant Number 5UL1TR002389-02. L.Y. received support from K99 (K99HD094648). All authors received support from R01AI120700.
"
Profiles of HIV Care Disruptions Among Adult Patients Lost to Follow-up in Zambia: A Latent Class Analysis,7722465,na,"The authors want to thank all staff at the Centre for Infectious Diseases Research in Zambia (CIDRZ). The authors also thank the Zambian Ministry of Health, Center for Disease Control, and PEPFAR for developing the health systems and electronic medical record necessary to conduct this research.",NA,"
Supported by the National Institutes of Health (KL2 TR002346 and T32 AI060530 to A.M. and K24 AI134413 to E.H.G.) and the Bill and Melinda Gates Foundation (grant number OPP1105071).
"
"Frequency, Risk Factors, and Mediators of Frailty Transitions During Long-Term Follow-Up Among People With HIV and HIV-Negative AGEhIV Cohort Participants",7722459,na,"AGEhIV Cohort Study Group: Scientific oversight and coordination: P. Reiss (principal investigator), F. W. N. M. Wit, M. van der Valk, J. Schouten, K. W. Kooij, R. A. van Zoest, E. Verheij, S. O. Verboeket, M. L. Verburgh, B. C. Elsenga [Amsterdam University Medical Centers (Amsterdam UMC), University of Amsterdam, Department of Global Health and Amsterdam Institute for Global Health and Development (AIGHD)]. M. Prins (co-principal investigator), M. F. Schim van der Loeff, L. del Grande, I. Agard (Public Health Service of Amsterdam, Department of Infectious Diseases). Datamanagement: S. Zaheri, M. M. J. Hillebregt, Y. M. C. Ruijs, D. P. Benschop, A. el Berkaoui (HIV Monitoring Foundation). Central laboratory support: N. A. Kootstra, A. M. Harskamp-Holwerda, I. Maurer, M. M. Mangas Ruiz, A. F. Girigorie, B. Boeser-Nunnink (Amsterdam UMC, Laboratory for Viral Immune Pathogenesis and Department of Experimental Immunology). Project management and administrative support: W. Zikkenheiner, F. R. Janssen (AIGHD). Participating HIV physicians and nurses: S. E. Geerlings, A. Goorhuis, J. W. R. Hovius, F. J. B. Nellen, J. M. Prins, P. Reiss, M. van der Valk, W. J. Wiersinga, M. van Vugt, G. de Bree, B. A. Lemkes, V. Spoorenberg, F. W. N. M. Wit; J. van Eden, A. M. H. van Hes, F. J. J. Pijnappel, A. Weijsenfeld, S. Smalhout, M. van Duinen, A. Hazenberg (Amsterdam UMC, Division of Infectious Diseases). Other collaborators: P. G. Postema (Amsterdam UMC, Department of Cardiology); P. H. L. T. Bisschop, M. J. M. Serlie (Amsterdam UMC, Division of Endocrinology and Metabolism); P. Lips (Amsterdam UMC); E. Dekker (Amsterdam UMC, Department of Gastroenterology); N. van der Velde (Amsterdam UMC, Division of Geriatric Medicine); J. M. R. Willemsen, L. Vogt (Amsterdam UMC, Division of Nephrology); J. Schouten, P. Portegies, B. A. Schmand, G. J. Geurtsen (Amsterdam UMC, Department of Neurology); F. D. Verbraak, N. Demirkaya (Amsterdam UMC, Department of Ophthalmology); I. Visser (Amsterdam UMC, Department of Psychiatry); A. Schadé (Amsterdam UMC, Department of Psychiatry); P. T. Nieuwkerk, N. Langebeek (Amsterdam UMC, Department of Medical Psychology); R. P. van Steenwijk, E. Dijkers (Amsterdam UMC, Department of Pulmonary Medicine); C. B. L. M. Majoie, M. W. A. Caan (Amsterdam UMC, Department of Radiology); H. W. van Lunsen, M. A. F. Nievaard (Amsterdam UMC, Department of Gynaecology); B. J. H. van den Born, E. S. G. Stroes, (Amsterdam UMC, Division of Vascular Medicine); W. M. C. Mulder, S. van Oorspronk (HIV Vereniging Nederland).",NA,"
Supported by The Netherlands Organization for Health Research and Development (ZonMW) (Grant number 300020007) and AIDS Fonds (Grant number 2009063). Additional unrestricted scientific grants were received from Gilead Sciences; ViiV Healthcare; Janssen Pharmaceuticals N.V.; and Merck & Co. None of these funding bodies had a role in the design or conduct of the study, the analysis and interpretation of the results, the writing of the report, or the decision to publish.
"
"Nefer, Sinuhe and clinical research assessing post COVID-19 condition",7778876,na,"J.B. Soriano is Senior Consultant at the COVID-19 Clinical Management Team, WHO Health Emergency Programme, World Health Organization HQ, Geneva, Switzerland.",NA,NA
"TCR meta-clonotypes for biomarker discovery with tcrdist3: identification of public, HLA-restricted SARS-CoV-2 associated TCR features",7781332,10.1101/2020.12.24.424260,This work was funded by NIH NIAID R01 AI136514-03 (PI Thomas) and ALSAC at St. Jude. The authors thank M. Pogorelyy and A. Minervina for extensive feedback on the manuscript. Scientific Computing Infrastructure at Fred Hutchinson Cancer Research Center was funded by ORIP grant S10OD028685.,NA,NA
Discovery of TMPRSS2 inhibitors from virtual screening,7781311,10.1101/2020.12.28.424413,"This work was supported by the Intramural Research Programs of the National Center for Advancing Translational Sciences, National Institutes of Health.",NA,NA
Asthma and COVID-19: do we finally have answers?,7778875,na,NA,NA,NA
The Association Between Alpha-1 Adrenergic Receptor Antagonists and In-Hospital Mortality from COVID-19,7781337,10.1101/2020.12.18.20248346,"Any opinion, findings, and conclusions or recommendations expressed in this material are those of the authors and do not necessarily reflect the views of the US Department of Veterans Affairs or the National Science Foundation.",NA,NA
Pulmonary embolism in COVID-19: D-dimer threshold selection should not be based on maximising Youden's index,7778874,na,NA,NA,NA
COVID-verpleegkundige komt beter de dienst door met koelvest,7773802,10.1007/s12498-020-1315-9,NA,NA,NA
Ervaringen in de COVID-19 revalidatiezorg,7773801,10.1007/s12498-020-1314-x,NA,NA,NA
Afscheid van het oude normaal,7773800,10.1007/s12498-020-1324-8,NA,NA,NA
De kracht van samenwerken bij nazorg COVID-19-patiënten,7773799,10.1007/s12498-020-1313-y,NA,NA,NA
nieuws,7773798,10.1007/s12498-020-1321-y,NA,NA,NA
Online onderwijs niet meer weg te denken!,7773797,10.1007/s12498-020-1307-9,NA,NA,NA
Impact van een IC-behandeling: Post Intensive Care Syndroom,7773796,10.1007/s12498-020-1306-x,NA,NA,NA
Beroepsziektemeldingen vanwege COVID-19 bij NCVB,7773795,10.1007/s12498-020-1316-8,NA,NA,NA
Helpt Long COVID chronisch vermoeidheidssyndroom te doorgronden? Of omgekeerd?,7773794,10.1007/s12498-020-1322-x,NA,NA,NA
'Ik ben een bedrijfsarts met een hart voor publieke gezondheid',7773793,10.1007/s12498-020-1317-7,NA,NA,NA
Revalidatie bij relatief milde coronaklachten,7773792,10.1007/s12498-020-1311-0,NA,NA,NA
van de verenigingen,7773791,10.1007/s12498-020-1323-9,NA,NA,NA
Auswirkungen von COVID-19 auf die männliche Fertilität,7758734,10.1007/s00092-020-4480-3,NA,NA,NA
"""Mein Kongress - online kompakt"": digitaler Zahnärztetag in Corona-Zeiten ",7753103,10.1007/s13279-020-0694-8,NA,NA,NA
StuPa bemängelt Qualität der Lehre ,7753101,10.1007/s13279-020-0689-5,NA,NA,NA
Dentale Aerosole,7756193,10.1007/s12614-020-9470-z,NA,NA,NA
Zuverlässige Patienten - und wo sie (nicht) zu finden sind,7756190,10.1007/s12614-020-9486-4,NA,NA,NA
Impact on Admittance of Children on Emergency Department of a Regional Hospital From North of Spain During the COVID-19 State of Alarm,7780935,na,NA,NA,NA
'Laat je stem horen',7755525,10.1007/s41183-020-0648-x,NA,NA,NA
"Adieu, goodbye en houdoe",7755524,10.1007/s41183-020-0644-1,NA,NA,NA
Actueel,7755523,10.1007/s41183-020-0649-9,NA,NA,NA
‘The long tail of Covid-19’ - The detection of a prolonged inflammatory response after a SARS-CoV-2 infection in asymptomatic and mildly affected patients,7745182,10.12688/f1000research.27287.2,We wish to thank Annabelle Lea Mai Immunology department Great Ormond Street Hospital for help with samples and the Peto Foundation for their continuing support.,NA,NA
"Anti-
c-myc cholesterol based lipoplexes as onco-nanotherapeutic agents
in vitro
",7745184,10.12688/f1000research.25142.2,The authors acknowledge colleagues of the Nano-Gene and Drug Delivery group for technical support.,NA,NA
Wissenschaft in 5 Minuten,7774496,10.1007/s00058-020-1947-2,NA,NA,NA
Influenza-Impfstatus in der Akutversorgung,7774494,10.1007/s00058-020-1950-7,NA,NA,NA
Pflegepolitik in 5 Minuten,7774493,10.1007/s00058-020-1938-3,NA,NA,NA
Pflege Markt,7774492,10.1007/s00058-020-1932-9,NA,NA,NA
Hospital Surgical Volume and 3-Year Mortality in Severe Prognosis Cancers: A Population-Based Study Using Cancer Registry Data,7738649,10.2188/jea.JE20190242,We would like to thank the Osaka Cancer Registry for understanding our research concept and providing data.,NA,NA
Effect of Dietary Nori (Dried Laver) on Blood Pressure in Young Japanese Children: An Intervention Study,7738648,10.2188/jea.JE20190176,"This work was supported by a grant-in-aid (grant number 21890093) from the Ministry of Education, Culture, Sports, Science and Technology of Japan.",NA,NA
Alcohol Consumption and Risk of Gastric Cancer: The Japan Collaborative Cohort Study,7738647,10.2188/jea.JE20190304,The authors would like to thank all the staff involved in this study for their valuable help in conducting baseline surveys and follow-up.,NA,NA
Guidelines Are Urgently Needed for the Use of Preprints as a Source of Information,7738646,10.2188/jea.JE20200506,"As this commentary is based exclusively on publicly available data that contains no personal information, ethical approval is not required.",NA,NA
History and Profile of Diagnosis Procedure Combination (DPC): Development of a Real Data Collection System for Acute Inpatient Care in Japan,7738645,10.2188/jea.JE20200288,"Funding: This work was supported by research grant (20AA2005) from the Ministry of Health, Labour and Welfare, and Grants-in-Aid for JSPS KAKENHI Grant Numbers 17H04437 and 20H03972.",NA,NA
Impact of PSCA Polymorphisms on the Risk of Duodenal Ulcer,7738644,10.2188/jea.JE20190184,We thank all the participants in the J-MICC study.,NA,NA
"Infant Mortality Rates for Farming and Unemployed Households in the Japanese Prefectures: An Ecological Time Trend Analysis, 1999–2017",7738643,10.2188/jea.JE20190090,We thank Yuko Kachi for giving us important advice about analyzing and interpreting the results.,NA,NA
Study Profile of the Tohoku Medical Megabank Community-Based Cohort Study,7738642,10.2188/jea.JE20190271,"The authors sincerely express their gratitude to the people of Japan and of the world for their valuable support to the GEJE-affected areas after the disaster. We also thank all participants and all municipality staffs who helped our project. We also thank the members of ToMMo and IMM, including GMRCs, office and administrative personnel, and software engineers, for their assistance to the projects. The complete list of members is available at: https://www.megabank.tohoku.ac.jp/english/a181201// for ToMMo and at http://iwate-megabank.org/en/about/departments/ for IMM.",NA,NA
Adachi Child Health Impact of Living Difficulty (A-CHILD) Study: Research Protocol and Profiles of Participants,7738641,10.2188/jea.JE20190177,"We thank all the participants who contributed to the A-CHILD Study, which was supported by a Health Labour Sciences Research Grant, Comprehensive Research on Lifestyle Disease from the Japanese Ministry of Health, Labour and Welfare (H27-Jyunkankito-ippan-002), and Grants-in-Aid for Scientific Research from the Japan Society for the Promotion of Science (JSPS KAKENHI Grant Number 16H03276, 16K21669 and 17K13244), St. Luke’s Life Science Institute Grants, and the Japan Health Foundation Grants. We are particularly grateful to the staff members and the central office of Adachi City Hall and everyone who participated in the surveys. Particularly, we would like to thank to Mayor Yayoi Kondo, Mr. Syuichiro Akiu, Mr. Hideaki Otaka, and Ms. Yuko Baba of Adachi City Hall, all of whom contributed significantly to the completion of this study.",NA,NA
Intake of Vegetables and Fruits and the Risk of Cataract Incidence in a Japanese Population: The Japan Public Health Center-Based Prospective Study,7738640,10.2188/jea.JE20190116,We thank all staff members of the JPHC Study.,NA,NA
The Level of Urine Dipstick Proteinuria and Its Relation to the Risk of Incident Cholelithiasis,7738639,10.2188/jea.JE20190223,We used the National Health Insurance Service–National Sample Cohort database and the dataset was obtained from the National Health Insurance Service. Our study findings were not related to the National Health Insurance Service.,NA,NA
Deterioration in Mental Health Under Repeated COVID-19 Outbreaks Greatest in the Less Educated: A Cohort Study of Japanese Employees,7738638,10.2188/jea.JE20200499,"The authors wish to thank the members of the Department of Psychiatric Nursing and Mental Health at the University of Tokyo, especially Mako Iida, Hiroki Asaoka, and Yui Hidaka. They supported our work with detailed data analyses.",NA,NA
Excess All-Cause Mortality During the COVID-19 Outbreak in Japan,7738637,10.2188/jea.JE20200492,"We appreciate Saori Irie for her valuable support in collecting the data. We thank Kelly Zammit, BVSc, from Edanz Group (https://en-author-services.edanzgroup.com/ac) for editing a draft of this manuscript.",NA,NA
Structural basis for broad coronavirus neutralization,7781312,10.1101/2020.12.29.424482,"We thank Hideki Tani (University of Toyama) for providing the reagents necessary for preparing VSV pseudotyped viruses and Brooke Fiala for assisting with protein production. This study was supported by the National Institute of General Medical Sciences (R01GM120553 to D.V.), the National Institute of Allergy and Infectious Diseases (DP1AI158186 and HHSN272201700059C to D.V.), a Pew Biomedical Scholars Award (D.V.), an Investigators in the Pathogenesis of Infectious Disease Awards from the Burroughs Wellcome Fund (D.V.), a Fast Grants (D.V.), the University of Washington Arnold and Mabel Beckman cryoEM center, the Swiss National Science Foundation (P400PB_183942 to M.M.S.), the Pasteur Institute (M.A.T.) the M.J. Murdock Charitable Trust (A.T.M and B.H.), and beamlines 8.2.1 and 5.0.1 at the Advanced Light Source at Lawrence Berkley National Laboratory.",NA,NA
Immunogenetics special issue 2021: Fish Immunology,7780219,10.1007/s00251-020-01198-y,NA,NA,NA
Herz-Kreislauf-Erkrankungen und COVID-19,7780218,10.1007/s00059-020-05013-y,NA,NA,NA
The impact of taxes on the extensive and intensive margins of FDI,7780217,10.1007/s10797-020-09640-3,NA,NA,NA
Are asymptomatic gastrointestinal findings on imaging more common in COVID-19 infection? Study to determine frequency of abdominal findings of COVID-19 infection in patients with and without abdominal symptoms and in patients with chest-only CT scans,7780216,10.1007/s00261-020-02920-w,NA,Grant Support: None for the manuscript.,NA
NF-κB signalling as a pharmacological target in COVID-19: potential roles for IKKβ inhibitors,7780215,10.1007/s00210-020-02035-5,"The author acknowledges UGC-SAP and DST-FIST for the infrastructure of the Department of Animal Science, Bharathidasan University. The author would like to thank Risna Kanjirassery Radhakrishnan and Nivethitha Manickam for reading the article and providing valuable suggestions.","M.K. has been supported by the Faculty Recharge Programme, University Grants Commission (UGC-FRP), New Delhi, India. M.K. received research grant (SERB-EEQ/2016/000639) and an Early Career Research Award (SERB-ECR/2016/000741) from the Science and Engineering Research Board (SERB), India.",NA
Role of Telemedicine in Follow-up Care of Children with Respiratory Illnesses at a Tertiary Care Hospital — An Ambispective Observational Study,7780214,10.1007/s12098-020-03590-8,NA,NA,NA
A Preparedness Model for Mother–Baby Linked Longitudinal Surveillance for Emerging Threats,7780211,10.1007/s10995-020-03106-y,"Amanda Akosa, Eagle Global Scientific, CDC; Elizabeth Lewis, Chickasaw Health Consulting, CDC; John Nahabedian, Eagle Global Scientific, CDC; Breanne Anderson, Arizona Department of Health Services; Rebecca Scranton, Arizona Department of Health Services; Andrea Morrison, Florida Department of Health; Amanda Elmore, Florida Department of Health; Heather Lake-Burger, Florida Department of Health; Danielle Stanek, Florida Department of Health; Michael Bryan, Georgia Department of Public Health; Teri’ Willabus, Georgia Department of Public Health; Cynthia Carpentieri, Georgia Department of Public Health; Caleb Lyu, Los Angeles County Department of Public Health; Clara Chang, Los Angeles County Department of Public Health; Craig Vincent-Jones, Los Angeles County Department of Public Health; Emily Barnes, Los Angeles County Department of Public Health; Mireille Ibrahim, Los Angeles County Department of Public Health; Meredith Haddix, Los Angeles County Department of Public Health; Prabhu Gounder, Los Angeles County Department of Public Health; Van Ngo, Los Angeles County Department of Public Health; Anthony Osinski, Massachusetts Department of Public Health; Mahsa Yazdy, Massachusetts Department of Public Health; Eirini Nestoridi, Massachusetts Department of Public Health; Elizabeth Dufort, New York State Department of Health; Zahra Alaali, New York State Department of Health; Pauline Santos, New York State Department of Health; Nadia Thomas, New York State Department of Health; Ellen Lee, New York City Department of Health & Mental Hygiene; Ann Winters, New York City Department of Health & Mental Hygiene; Miguel Valencia Prado, Puerto Rico Department of Health; Elizabeth Harvey, Tennessee Department of Health; Heather Wingate, Tennessee Department of Health; Laura Price, Tennessee Department of Health; and Katherine Lolley, Tennessee Department of Health.",This study was performed as regular work of the Centers for Disease Control and Prevention. This work is supported by the Epidemiology and Laboratory Capacity for Prevention and Control of Emerging Infectious Diseases (ELC) Cooperative Agreement (ELC CK19-1904).,NA
Early corticosteroids are associated with lower mortality in critically ill patients with COVID-19: a cohort study,7780210,10.1186/s13054-020-03422-3,We thank all patients and their families involved in the study. We would like the names of the individual members of the COVID-19 Spanish ICU Network Group to be searchable through their individual PubMed records.,None.,NA
A call to action; an open letter to WHO from the international interventional radiology community,7780208,10.1186/s42155-020-00195-2,"We would like to sincerely thank the executive committees of CIRSE, SIR and SAFIRE for their support and guidance with this letter. We would also like to thank the following people and societies for their support: Dr Brain Stainken (SIR), Dr Nazar Hamour (Sudan), Dr Fakhir Elmasry (Sudan), Dr Ndoye Diop (Senegal), Dr Hammed Ninalowo (Nigeria), Dr Ivan Rukundo (Rwanda), and Dr Erick Mbuguje (Tanzania), Dr. Andrew Kesselman (RAD-AID International), Ms. Susan Jackson (Western Angiographic and Interventional Society), Drs. Kartik Ganga and Sreenivasa Raju (Indian Society of Vascular & Interventional Radiology), Dr. Gerard Goh (Interventional Radiology Society of Australasia), Drs. Murray Asch and Kevin Shixiao He (Canadian Association for Interventional Radiology – Staff Interventional Radiologist/Founding Member and Resident Resident, Fellow, Students Section Chair, Dr. Karin Euler (Canadian African Health Care Alliance - Tanzania) and the South African Interventional Society (SAintS).",No funding.,NA
Predictive role of perioperative neutrophil to lymphocyte ratio in pediatric congenital heart disease associated with pulmonary arterial hypertension,7780205,10.1186/s12893-020-01009-x,Not applicable.,"The present work was supported by the National Natural Science Foundation of China (No. 81700277) and the National Key Research and Development Project (417311JW). The funders had no role in the design of the study and collection, analysis, and interpretation of data and in writing the manuscript.",NA
Modeling the dynamic kinetics of microbial disinfection with dissipating chemical agents—a theoretical investigation,7780086,10.1007/s00253-020-11042-8,NA,NA,NA
Quantifying the publication preferences of leading research universities,7780084,10.1007/s11192-020-03790-1,NA,NA,NA
