Genital Mucosal Drug Concentrations and anti-HIV Activity in Tenofovir-Based PrEP Products: Intravaginal Ring vs. Oral Administration,8647693,na,"This study was made possible by the generous support of the American people through the United States Agency for International Development (USAID) and the US President's Emergency Plan for AIDS Relief (PEPFAR) under Cooperative Agreement AID-OAA-A-14-00011. The contents of this article are the sole responsibility of CONRAD and do not necessarily reflect the views of USAID, PEPFAR, or the US Government. Tenofovir active pharmaceutical ingredient for manufacture of the intravaginal ring was provided by Gilead Sciences (Foster City, CA).",NA,"
Supported by CONRAD/EVMS with funds from the United States Agency for International Development (USAID) and the US President's Emergency Plan for AIDS Relief (PEPFAR) under a Cooperative Agreement (AID-OAA-A-14-00011) with EVMS. The contents of this article do not necessarily reflect the views of USAID, PEPFAR, or the US Government.
"
Brief Report: HIV Is Associated With Impaired Pulmonary Diffusing Capacity Independent of Emphysema,8647697,na,NA,NA,"
NIH/NHLBI: K12HL143957 and Johns Hopkins University Center for AIDS Research (P30AI094189). Support for the SHIELD cohort: NIDA, NHLBI, and NIAID (R01HL154860; U01-HL-121814; U01DA036297; R01HL126549; and K24-AI118591).
"
RELATIONSHIP BETWEEN MYOPIC CHOROIDAL NEOVASCULARIZATION ACTIVITY AND PERFORATING SCLERAL VESSELS IN HIGH MYOPIA,8687611,na,NA,NA,NA
Implementation of an Emergency Department–Embedded Infusion Center for the Administration of Monoclonal Antibody Therapy in Patients With Early COVID-19 Infection,8711302,na,"The authors would like to acknowledge Glenell Rutkoff, MSN, RN, CRNI®, for her oversight and expertise in infusion therapy and Mike Kruse, PharmD, for management and distribution of bamlanivimab to our health system.",NA,NA
Separating Clinical and Subclinical Depression by Big Data Informed Structural Vulnerability Index and Its impact on Cognition: ENIGMA Dot Product,8719281,na,"This work was supported by the National Institutes of Health grants R01MH112180, R01MH116948, S10OD023696, R01EB015611, R01MH117601, R01AG095874, R01MH116147, and U01MH108148. These funding sources provided financial support to enable design and conduct of the study or collection, management, or analysis of the data. LS is supported by a NHMRC Career Development Fellowship (1140764) and a University of Melbourne Dame Kate Campbell fellowship. None of the funding agencies had a role in the interpretation of the data. None had a role in the preparation, review, or approval of the manuscript. None had a role in the decision to submit the manuscript for publication.",NA,NA
Improving iron folic acid consumption through interpersonal communication: Findings from the Reduction in Anemia through Normative Innovations (RANI) project,8710582,10.1016/j.pec.2021.04.032,NA,"Funding for this project was provided by the 10.13039/100000865Bill and Melinda Gates Foundation (OPP1182519) to the George Washington University (Rajiv N. Rimal, PI).",NA
Genetic Dissection of the Mixing Properties of Wheat Flour (Triticum aestivum L.) Using Unconditional and Conditional QTL Mapping,8709693,na,"This work was supported by the National Natural Science Foundation of China (31971936) and the Science and Technology of Shandong projects 2019YQ028, 2019LZGC001-3 and ZR2020MC093. SNP analysis and the construction of genetic maps were kindly conducted by Dr. Mingcheng Luo from the University of California, Davis, and by Dr. Jirui Wang of Sichuan Agricultural University. Prof. Wujun Ma from Murdoch University and Wolfgang Friedt from University Giessen provided valuable revision suggestions.",NA,NA
Comparative analysis of mRNA transcripts of HT-29 cell line expressed in identical quantities for pathogenic E. coli strains UM146 and UM147 with control Escherichia coli Nissle 1917,8709692,na,NA,NA,NA
Adjuvant Chemotherapy for Muscle-invasive Bladder Cancer: A Systematic Review and Meta-analysis of Individual Participant Data from Randomised Controlled Trials,8708165,10.1016/j.eururo.2021.09.028,NA,NA,NA
"Glucose biosensors in clinical practice: principles, limits and perspectives of currently used devices",8692922,na,NA,NA,NA
HMGA2 facilitates colorectal cancer progression via STAT3-mediated tumor-associated macrophage recruitment,8692921,na,We would like to acknowledge the technical assistance and support from the Core Facilities of Zhejiang University School of Medicine and the Laboratory Animal Center of Zhejiang University.,"This study was supported by the National Natural Science Foundation of China (No. 81772527 and 82072621), Zhejiang Provincial Natural Science Foundation of China (LY21H160040 and LY19H030012), and Fundamental Research Funds for the Central Universities (2019QNA7028).",NA
Resveratrol ameliorates polycystic ovary syndrome via transzonal projections within oocyte-granulosa cell communication,8692920,na,"This study was supported by the National Natural Science Foundation of China (32071301 and 31971234); the Natural Science Foundation of Fujian Province, China (2020J01027); and a Key Project at Central Government Level: The ability establishment of sustainable use for valuable Chinese medicine resources (2060302).",NA,NA
Repurposing ferumoxytol: Diagnostic and therapeutic applications of an FDA-approved nanoparticle,8692919,na,This work was supported in part by the National Institutes of Health/National Institute of Dental and Craniofacial Research (R01DE025848). JCH is supported by The Brody Family Medical Trust Fund Fellowship in “Incurable Diseases” of The Philadelphia Foundation.,NA,NA
Targeting regulated cell death in tumor nanomedicines,8692918,na,NA,NA,NA
Antigen presentation and interferon signatures in B cells driven by localized ablative cancer immunotherapy correlate with extended survival,8692917,na,"This work was supported in part by the National Cancer Institute (R01CA205348 to WRC), National Eye Institute (R01EY027346 to RCA) and National Institute of Allergy and Infectious Diseases (R01AI137047 to RCA), National Institutes of Health (AI134719 to MLL), and the Oklahoma Center for the Advancement of Science and Technology (HR16-085 and HF20-019 to WRC). We would like to thank the Flow Cytometry Core Facility and Genomics Core Facility at the Oklahoma Medical Research Foundation (OMRF) for providing flow cytometry services and assisting in scRNA-seq analysis. The authors (WRC, KL, ARH) also appreciate the generous support of Dr. and Mrs. Lee and Sherry Beasley, Dr. and Mrs. J. Michael and Kathy Steffen, and Dr. and Mrs. Damon and Heather Johnston.",NA,NA
5-aza-2′-deoxycytidine potentiates anti-tumor immunity in colorectal peritoneal metastasis by modulating ABC A9-mediated cholesterol accumulation in macrophages,8692916,na,"This work was supported by award numbers 81872028, 82173134 (H.M.) from the National Natural Science Foundation of China (NSFC) and Excellent Young Talents Project of Third Military Medical University and Chongqing. We thank Ju Liu (Third Military Medical University) for her help in language polishing.",NA,NA
Tailoring noble metal nanoparticle designs to enable sensitive lateral flow immunoassay,8692915,na,"The study was supported by the National Key Research and Development Program of China (2018YFC1602203), the National Natural Science Foundation, China (No. 32160599, 32001788), the Jiangxi Provincial Natural Science Foundation (20202ACB215004), and the Scientific Research Foundation of Education Department of Jiangxi Province (GJJ200221).",NA,NA
Extracellular ATP is increased by release of ATP-loaded microparticles triggered by nutrient deprivation,8692914,na,"FDV is supported by grants from the Italian Association for Cancer Research (n. IG 13025 and IG 18581), the Ministry of Health of Italy (n. RF-2011-02348435), The Ministry of Education of Italy (PRIN n. 20178YTNWC), and institutional funds from the University of Ferrara, and from the European H2020 office through the COST Action BM1406 “Ion channels and Immune response”. PP was supported by AIRC, grant IG-23670; Telethon, grant GGP11139B; the Ministry of University and Research of Italy, PRIN 2017 grant n. E5L5P3. EA was supported by the Italian Association for Cancer Research (AIRC) IG16812 and IG22837 grants and by institutional funds from the University of Ferrara.",NA,NA
Tumor-specific activatable biopolymer nanoparticles stabilized by hydroxyethyl starch prodrug for self-amplified cooperative cancer therapy,8692913,na,"We thank the Research Core Facilities for Life Science (HUST), the Optical Bioimaging Core Facility of WNLO-HUST, and the Analytical and Testing Center of HUST for the facility support. This work was financially supported by grants from the National Key Research and Development Program of China (2020YFA0211200, 2020YFA0710700, and 2018YFA0208900), the National Science Foundation of China (31972927, 82172757), the Scientific Research Foundation of Huazhong University of Science and Technology (3004170130), the Program for HUST Academic Frontier Youth Team (2018QYTD01), and the HCP Program for HUST.",NA,NA
